station,category,location_x,location_y,year,crime_count
Chrissiesmeer,Burglary at residential premises,30.21357,-26.28052,2005,36
Chrissiesmeer,Arson,30.21357,-26.28052,2005,3
Chrissiesmeer,Common assault,30.21357,-26.28052,2005,40
Chrissiesmeer,Truck hijacking,30.21357,-26.28052,2005,0
Chrissiesmeer,Robbery of cash in transit,30.21357,-26.28052,2005,0
Chrissiesmeer,Assault with the intent to inflict grievous bodily harm,30.21357,-26.28052,2005,49
Chrissiesmeer,All theft not mentioned elsewhere,30.21357,-26.28052,2005,36
Chrissiesmeer,Carjacking,30.21357,-26.28052,2005,1
Chrissiesmeer,Murder,30.21357,-26.28052,2005,1
Chrissiesmeer,Shoplifting,30.21357,-26.28052,2005,1
Chrissiesmeer,Theft out of or from motor vehicle,30.21357,-26.28052,2005,4
Chrissiesmeer,Malicious damage to property,30.21357,-26.28052,2005,23
Chrissiesmeer,Robbery at residential premises,30.21357,-26.28052,2005,0
Chrissiesmeer,Robbery at non-residential premises,30.21357,-26.28052,2005,0
Chrissiesmeer,Theft of motor vehicle and motorcycle,30.21357,-26.28052,2005,7
Chrissiesmeer,Burglary at non-residential premises,30.21357,-26.28052,2005,1
Chrissiesmeer,Illegal possession of firearms and ammunition,30.21357,-26.28052,2005,0
Chrissiesmeer,Commercial crime,30.21357,-26.28052,2005,1
Chrissiesmeer,Sexual offences as result of police action,30.21357,-26.28052,2005,0
Chrissiesmeer,Common robbery,30.21357,-26.28052,2005,7
Davel,Malicious damage to property,29.66766,-26.4479,2005,23
Davel,All theft not mentioned elsewhere,29.66766,-26.4479,2005,49
Davel,Attempted murder,29.66766,-26.4479,2005,1
Davel,Theft out of or from motor vehicle,29.66766,-26.4479,2005,2
Davel,Robbery with aggravating circumstances,29.66766,-26.4479,2005,1
Davel,Theft of motor vehicle and motorcycle,29.66766,-26.4479,2005,2
Davel,Drug-related crime,29.66766,-26.4479,2005,1
Davel,Murder,29.66766,-26.4479,2005,0
Davel,Burglary at residential premises,29.66766,-26.4479,2005,27
Davel,Illegal possession of firearms and ammunition,29.66766,-26.4479,2005,0
Davel,Assault with the intent to inflict grievous bodily harm,29.66766,-26.4479,2005,38
Davel,Carjacking,29.66766,-26.4479,2005,0
Davel,Robbery of cash in transit,29.66766,-26.4479,2005,0
Davel,Arson,29.66766,-26.4479,2005,1
Davel,Commercial crime,29.66766,-26.4479,2005,0
Davel,Burglary at non-residential premises,29.66766,-26.4479,2005,3
Davel,Driving under the influence of alcohol or drugs,29.66766,-26.4479,2005,1
